n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
131072,1,34020396,7,3081,7734991177,21446417532,3,1,43690.7,131070,3.81757e+09
131072,2,31037442,6,4539,4043796369,10227369192,1,131072,131072,131072,0
131072,2,34038894,7,6161,4051838019,11339033097,3,1,43690.7,131070,3.81757e+09
131072,4,31091930,6,9077,2063911672,4810067884,1,131072,131072,131072,0
131072,4,34112850,7,12321,2061898705,5457956386,3,1,43690.7,131070,3.81757e+09
131072,8,31309818,6,18153,1107260104,2601194983,1,131072,131072,131072,0
131072,8,34408602,7,24641,1111321025,2929478852,3,1,43690.7,131070,3.81757e+09
16384,16,3787838,5,20001,547843879,525376216,3,1,5461.33,16382,5.96305e+07
16384,16,4147458,6,20113,567894884,530639605,3,1,5461.33,16382,5.96305e+07
16384,16,4311102,6,25297,531645752,625079723,5,1,3276.8,16380,4.29235e+07
16384,32,5708062,5,40001,1683684012,1421560971,3,1,5461.33,16382,5.96305e+07
16384,32,6078466,6,40225,1656864775,1405517046,3,1,5461.33,16382,5.96305e+07
16384,32,6739774,6,50593,1716288639,1691229979,5,1,3276.8,16380,4.29235e+07
32768,16,8203276,6,28433,671201817,876689864,2,1,16384,32767,2.68403e+08
32768,16,8224144,6,29105,791715790,1184701324,2,1,16384,32767,2.68403e+08
32768,16,8316424,6,33041,647215613,950558313,2,1,16384,32767,2.68403e+08
32768,32,10933004,6,56865,950800589,1637346340,2,1,16384,32767,2.68403e+08
32768,32,11018384,6,58209,1689210762,2265513022,2,1,16384,32767,2.68403e+08
32768,32,11488520,6,66081,1747661370,2414983070,2,1,16384,32767,2.68403e+08
65536,16,16138122,6,33953,798786279,1352929235,1,65536,65536,65536,0
65536,16,16142578,6,34641,770352558,1371010546,1,65536,65536,65536,0
65536,16,16198960,6,35761,790463846,1383850248,4,1,16384,65533,8.05208e+08
65536,32,19397770,6,67905,1781981418,3087200144,1,65536,65536,65536,0
65536,32,19468274,6,69281,1826406559,3154823466,1,65536,65536,65536,0
65536,32,19632176,6,71521,1798604677,3176617399,4,1,16384,65533,8.05208e+08
131072,16,32181242,6,36305,1088143110,2141549768,1,131072,131072,131072,0
131072,16,35591466,7,49281,1105482679,2537211173,3,1,43690.7,131070,3.81757e+09
131072,32,35666682,6,72609,2081328025,4142514992,1,131072,131072,131072,0
131072,32,40322634,7,98561,2092583719,5253407190,3,1,43690.7,131070,3.81757e+09
