n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
16384,1,2817338,5,926,552189237,1445328868,3,1,5461.33,16382,5.96305e+07
16384,1,3150128,5,1251,668965545,1590652392,3,1,5461.33,16382,5.96305e+07
16384,1,3471552,5,1253,794615105,1725895753,1,16384,16384,16384,0
16384,1,630058,5,335,126596013,396706665,9872,1,1.65964,151,8.05981
16384,1,769584,5,381,141334162,478601021,8227,1,1.99149,317,43.7507
16384,1,859436,6,680,139665351,538807182,8361,1,1.95957,473,64.212
16384,1,971072,7,890,141357734,614853312,8278,1,1.97922,1166,176.893
16384,2,1075600,6,1961,83573312,346687390,6562,1,2.4968,5315,4307.09
16384,2,2822902,5,1851,298410324,734656386,3,1,5461.33,16382,5.96305e+07
16384,2,3157642,5,2501,360011817,813094815,3,1,5461.33,16382,5.96305e+07
16384,2,3479078,5,2505,418990211,884932689,1,16384,16384,16384,0
16384,2,632076,5,669,68168189,199418083,9872,1,1.65964,151,8.05981
16384,2,771878,5,761,75763937,242811986,8227,1,1.99149,317,43.7507
16384,2,863526,6,1359,74871085,274864909,8361,1,1.95957,473,64.212
16384,2,976424,7,1779,76471867,318461560,8278,1,1.97922,1166,176.893
16384,4,1099152,6,3921,54247267,187762867,6562,1,2.4968,5315,4307.09
16384,4,2845130,5,3701,158956152,375743273,3,1,5461.33,16382,5.96305e+07
16384,4,3187670,5,5001,189470153,417007424,3,1,5461.33,16382,5.96305e+07
16384,4,3509154,5,5009,224179375,452487707,1,16384,16384,16384,0
16384,4,640120,5,1337,40759298,105023934,9872,1,1.65964,151,8.05981
16384,4,781026,5,1521,44201111,127210173,8227,1,1.99149,317,43.7507
16384,4,879854,6,2717,43756805,149059056,8361,1,1.95957,473,64.212
16384,4,997796,7,3557,44075976,171328856,8278,1,1.97922,1166,176.893
16384,8,1083212,7,7113,34537917,124830774,8278,1,1.97922,1166,176.893
16384,8,1193296,6,7841,37650706,138394855,6562,1,2.4968,5315,4307.09
16384,8,2933986,5,7401,93935823,239479893,3,1,5461.33,16382,5.96305e+07
16384,8,3307726,5,10001,113988366,278587964,3,1,5461.33,16382,5.96305e+07
16384,8,3629402,5,10017,129816525,294091375,1,16384,16384,16384,0
16384,8,672240,5,2673,29535508,68778459,9872,1,1.65964,151,8.05981
16384,8,817562,5,3041,31595724,83283369,8227,1,1.99149,317,43.7507
16384,8,945102,6,5433,35254422,105158267,8361,1,1.95957,473,64.212
2048,16,129962,4,1953,486113787,49664579,1255,1,1.63187,35,3.70831
2048,16,220420,4,4241,509894020,83775438,1012,1,2.02372,156,39.6378
2048,16,255552,5,5057,531541834,109189682,1060,1,1.93208,182,36.7539
2048,16,277824,5,5601,490884995,104602414,1008,1,2.03175,264,83.4137
2048,16,442450,6,9585,506929353,164000879,797,1,2.56964,667,561.558
2048,16,695734,5,10977,496330106,205533845,3,1,682.667,2046,929339
2048,16,734720,5,13185,492420783,229940373,6,1,341.333,2043,579134
2048,16,759318,5,11841,509581079,223334868,1,2048,2048,2048,0
2048,32,1362770,6,19169,1628631680,468425139,797,1,2.56964,667,561.558
2048,32,1749654,5,21953,1678767398,597072623,3,1,682.667,2046,929339
2048,32,1896182,5,23681,1681103431,644171863,1,2048,2048,2048,0
2048,32,2000608,5,26369,1663366480,677548726,6,1,341.333,2043,579134
2048,32,317546,4,3905,1641619744,127363345,1255,1,1.63187,35,3.70831
2048,32,627652,4,8481,1722885189,238739739,1012,1,2.02372,156,39.6378
2048,32,741152,5,10113,1655642136,279807724,1060,1,1.93208,182,36.7539
2048,32,815648,5,11201,1607818748,319871065,1008,1,2.03175,264,83.4137
32768,1,1273650,5,296,264495168,861103166,19565,1,1.67483,165,7.00962
32768,1,1746938,6,1102,289423711,1215744775,16446,1,1.99246,1830,226.058
32768,1,1763216,6,788,290806309,1220641837,16259,1,2.01538,892,109.817
32768,1,1941326,7,872,287775934,1368250119,16445,1,1.99258,1048,98.8713
32768,1,2397306,7,1915,320665425,1686614276,13264,1,2.47045,10212,7865.66
32768,1,6570242,6,1708,1250702122,3637876799,8,1,4096,32761,1.17383e+08
32768,1,7296214,6,1820,1515372230,3712463141,2,1,16384,32767,2.68403e+08
32768,1,7974930,6,1452,1791995263,4315601502,2,1,16384,32767,2.68403e+08
32768,2,1275434,5,591,135593658,431054448,19565,1,1.67483,165,7.00962
32768,2,1753560,6,2203,150122620,603102089,16446,1,1.99246,1830,226.058
32768,2,1767954,6,1575,151902771,617502695,16259,1,2.01538,892,109.817
32768,2,1946570,7,1743,151484597,674013605,16445,1,1.99258,1048,98.8713
32768,2,2408808,7,3829,165462867,866069548,13264,1,2.47045,10212,7865.66
32768,2,6580500,6,3415,661598149,1864004904,8,1,4096,32761,1.17383e+08
32768,2,7307144,6,3639,801574874,2024631594,2,1,16384,32767,2.68403e+08
32768,2,7983652,6,2903,935958343,2217812150,2,1,16384,32767,2.68403e+08
32768,4,1282542,5,1181,71879585,212943377,19565,1,1.67483,165,7.00962
32768,4,1780016,6,4405,79657061,311097470,16446,1,1.99246,1830,226.058
32768,4,1786874,6,3149,80952816,310415742,16259,1,2.01538,892,109.817
32768,4,1967510,7,3485,84222610,342414842,16445,1,1.99258,1048,98.8713
32768,4,2454780,7,7657,88182625,441970179,13264,1,2.47045,10212,7865.66
32768,4,6621500,6,6829,342996052,929752092,8,1,4096,32761,1.17383e+08
32768,4,7350832,6,7277,417721176,1041271529,2,1,16384,32767,2.68403e+08
32768,4,8018508,6,5805,493101052,1073586462,2,1,16384,32767,2.68403e+08
32768,8,1310918,5,2361,47285596,125149963,19565,1,1.67483,165,7.00962
32768,8,1862490,6,6297,53181300,197421512,16259,1,2.01538,892,109.817
32768,8,1885776,6,8809,50472362,205552637,16446,1,1.99246,1830,226.058
32768,8,2051198,7,6969,53270279,217938920,16445,1,1.99258,1048,98.8713
32768,8,2638596,7,15313,58781155,308569858,13264,1,2.47045,10212,7865.66
32768,8,6785436,6,13657,200559828,563764248,8,1,4096,32761,1.17383e+08
32768,8,7525520,6,14553,232179096,604829147,2,1,16384,32767,2.68403e+08
32768,8,8157868,6,11609,265712633,620939741,2,1,16384,32767,2.68403e+08
4096,16,1087026,5,13729,504749367,264817490,5,1,819.2,4092,2.6778e+06
4096,16,1163362,5,13889,544153450,278338363,1,4096,4096,4096,0
4096,16,1206310,5,12897,508537930,263960587,1,4096,4096,4096,0
4096,16,221274,4,2545,514709785,66938189,2437,1,1.68076,52,5.52467
4096,16,358424,5,5121,505475943,103351107,2026,1,2.02172,148,30.733
4096,16,374422,5,5793,446258149,110002324,2093,1,1.957,204,28.3852
4096,16,390864,5,6241,490476804,119412733,2062,1,1.98642,230,36.8621
4096,16,631372,6,11505,502495755,203643895,1674,1,2.44683,1290,995.65
4096,32,1736012,6,23009,1704866033,575523158,1674,1,2.44683,1290,995.65
4096,32,2405138,5,27457,1654776938,765488033,5,1,819.2,4092,2.6778e+06
4096,32,2444550,5,25793,1629421535,762071873,1,4096,4096,4096,0
