n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
65536,32,3157688,5,9761,1699089691,424790640,39244,1,1.66996,85,5.38481
65536,32,3264662,5,11201,1023523709,528846934,39103,1,1.67598,156,6.74595
1048576,1,40472596,5,403,10540603920,39504987497,628407,1,1.66863,184,5.66167
1048576,1,40487928,5,418,10577871003,38708108028,628270,1,1.66899,191,5.66962
1048576,1,45443630,6,519,10492646851,43643660177,629353,1,1.66612,187,5.6524
1048576,2,40475022,5,805,5264888005,20313210973,628407,1,1.66863,184,5.66167
1048576,2,40490444,5,835,5259377681,20315715153,628270,1,1.66899,191,5.66962
1048576,2,45446754,6,1037,5261411038,23133697401,629353,1,1.66612,187,5.6524
1048576,4,40484698,5,1609,2558658330,9867203842,628407,1,1.66863,184,5.66167
1048576,4,40500480,5,1669,2536302508,9816935418,628270,1,1.66899,191,5.66962
1048576,4,45459218,6,2073,2526741805,11245984926,629353,1,1.66612,187,5.6524
1048576,8,40523346,5,3217,1251638396,5221678013,628407,1,1.66863,184,5.66167
1048576,8,40540568,5,3337,1258253640,5197480974,628270,1,1.66899,191,5.66962
1048576,8,45509010,6,4145,1259156335,5941671240,629353,1,1.66612,187,5.6524
131072,16,5225020,5,5281,562650868,380526966,78604,1,1.6675,101,5.56325
131072,16,5248176,5,7265,567390927,406729952,79422,1,1.65032,334,11.0834
131072,16,5283730,5,6273,582010962,397621643,78257,1,1.67489,134,5.82269
131072,32,5732124,5,10561,1683706114,546278502,78604,1,1.6675,101,5.56325
131072,32,5886066,5,12545,1677292590,590841384,78257,1,1.67489,134,5.82269
131072,32,5945744,5,14529,1614894429,653435717,79422,1,1.65032,334,11.0834
262144,16,10238126,5,5825,640927547,730395283,157965,1,1.65951,117,5.55779
262144,16,10264920,5,6145,653273982,740326768,157646,1,1.66286,119,5.1989
262144,16,10272632,5,4977,667024715,734818927,157112,1,1.66852,128,5.37445
262144,32,10750552,5,9953,1717009387,728984706,157112,1,1.66852,128,5.37445
262144,32,10797454,5,11649,1718930917,762124793,157965,1,1.65951,117,5.55779
262144,32,10854968,5,12289,1744927411,770186849,157646,1,1.66286,119,5.1989
524288,16,20381988,5,6273,786172806,1447403188,314880,1,1.66504,136,5.42143
524288,16,20382516,5,5793,809452712,1447041307,314706,1,1.66596,141,5.70531
524288,16,20382714,5,5889,803416589,1437989176,314721,1,1.66588,134,5.38515
524288,32,20938772,5,11585,1862407418,1169764495,314706,1,1.66596,141,5.70531
524288,32,20948186,5,11777,1795506930,1173084116,314721,1,1.66588,134,5.38515
524288,32,20984324,5,12545,1828148606,1189299436,314880,1,1.66504,136,5.42143
1048576,16,40677826,5,6433,1132984559,3148272049,628407,1,1.66863,184,5.66167
1048576,16,40700808,5,6673,1133450236,3176307019,628270,1,1.66899,191,5.66962
1048576,16,45708050,6,8289,1158490344,3580356657,629353,1,1.66612,187,5.6524
1048576,32,41295522,5,12865,2057228489,2117086864,628407,1,1.66863,184,5.66167
1048576,32,41341544,5,13345,2109889110,2127496281,628270,1,1.66899,191,5.66962
1048576,32,46503954,6,16577,2090227538,2449486761,629353,1,1.66612,187,5.6524
